length,num_words,num_urls,has_ip_url,num_exclamations,num_dollars,num_percents,special_char_ratio,upper_ratio,digit_ratio,unique_word_ratio,suspicious_words,label
832,132,1,0,1,0,0,0.08283313325330131,0.0,0.01920768307322929,0.7744360902255639,0,0
295,72,0,0,0,0,0,0.05405405405405406,0.0,0.04391891891891892,0.726027397260274,0,0
403,87,0,0,1,0,0,0.0297029702970297,0.0,0.054455445544554455,0.6818181818181818,0,0
277,41,1,0,0,0,0,0.10071942446043165,0.0,0.017985611510791366,0.8571428571428571,0,0
262,29,1,0,0,0,0,0.12167300380228137,0.0,0.0,0.9333333333333333,0,0
978,200,0,0,4,0,0,0.03677221654749745,0.0,0.06332992849846783,0.6069651741293532,0,0
373,89,0,0,0,2,0,0.05614973262032086,0.0,0.02406417112299465,0.7222222222222222,1,1
186,36,0,0,0,0,0,0.08021390374331551,0.0,0.03208556149732621,0.918918918918919,0,0
7402,1529,0,0,0,0,0,0.05848980143185195,0.0,0.04714305011481832,0.33986928104575165,1,0
67,23,0,0,0,0,0,0.23529411764705882,0.0,0.0,0.3333333333333333,0,1
1469,321,0,0,0,5,1,0.03333333333333333,0.0,0.02312925170068027,0.484472049689441,1,1
126,33,0,0,0,0,0,0.06299212598425197,0.0,0.15748031496062992,0.6176470588235294,0,0
360,85,0,0,0,1,1,0.08033240997229917,0.0,0.0332409972299169,0.7093023255813954,1,1
3151,465,0,0,12,7,0,0.05298223350253807,0.0,0.01300761421319797,0.6158798283261803,0,1
1788,327,0,0,0,0,0,0.03577417551704863,0.0,0.014533258803801007,0.5182926829268293,2,0
2603,634,0,0,7,2,14,0.08755760368663594,0.0,0.019201228878648235,0.352755905511811,1,1
148,31,0,0,0,0,0,0.040268456375838924,0.0,0.006711409395973154,0.84375,2,1
926,138,1,0,0,0,0,0.06256742179072276,0.0,0.0,0.7338129496402878,0,0
1317,263,0,0,0,0,0,0.01896813353566009,0.0,0.0015174506828528073,0.5189393939393939,4,1
1714,349,0,0,0,0,3,0.04139941690962099,0.0,0.011661807580174927,0.44571428571428573,0,1
773,177,0,0,2,0,0,0.05297157622739018,0.0,0.06330749354005168,0.6797752808988764,1,1
1608,325,0,0,0,37,0,0.07768800497203232,0.0,0.0509633312616532,0.4110429447852761,0,1
5,1,0,0,0,0,0,0.0,0.0,0.0,0.5,0,0
250,56,0,0,0,0,0,0.06772908366533864,0.0,0.01195219123505976,0.7192982456140351,1,1
2898,737,0,0,2,0,0,0.08727147292169714,0.0,0.03001034839599862,0.2804878048780488,0,0
1198,311,0,0,16,0,0,0.13427856547122602,0.0,0.019182652210175146,0.3814102564102564,0,1
2067,313,2,0,0,0,0,0.09284332688588008,0.0,0.0033849129593810446,0.60828025477707,0,0
733,143,0,0,3,0,0,0.02452316076294278,0.0,0.013623978201634877,0.7083333333333334,0,1
744,205,0,0,0,0,0,0.13288590604026845,0.0,0.06711409395973154,0.441747572815534,0,0
900,157,1,0,0,0,0,0.05993340732519423,0.0,0.006659267480577136,0.6392405063291139,0,0
560,104,0,0,1,0,0,0.07308377896613191,0.0,0.026737967914438502,0.8380952380952381,0,0
149,13,1,0,0,0,0,0.14666666666666667,0.0,0.19333333333333333,0.9285714285714286,1,0
890,229,0,0,0,0,0,0.13468013468013468,0.0,0.0,0.3347826086956522,0,1
1669,278,0,0,7,0,0,0.08383233532934131,0.0,0.0011976047904191617,0.6308243727598566,4,1
905,250,0,0,0,0,0,0.11037527593818984,0.0,0.05849889624724062,0.3386454183266932,0,0
84,22,0,0,0,0,0,0.08235294117647059,0.0,0.1411764705882353,0.782608695652174,0,0
353,94,0,0,0,6,1,0.08192090395480225,0.0,0.05649717514124294,0.47368421052631576,1,1
1207,226,0,0,0,0,0,0.028145695364238412,0.0,0.0024834437086092716,0.5506607929515418,0,0
1332,269,0,0,0,0,0,0.04801200300075019,0.0,0.03675918979744936,0.4666666666666667,5,0
5034,977,0,0,0,3,2,0.03316782522343595,0.0,0.026415094339622643,0.37627811860940696,5,0
3262,496,3,0,2,0,0,0.0796812749003984,0.0,0.02022678516702421,0.6559356136820925,1,0
269,30,0,0,0,0,0,0.003703703703703704,0.0,0.0,0.9354838709677419,0,1
648,80,1,0,0,0,0,0.14175654853620956,0.0,0.0,0.8518518518518519,0,0
756,110,4,0,5,0,1,0.0726552179656539,0.0,0.011889035667107,0.7117117117117117,1,1
574,106,0,0,3,0,0,0.019130434782608695,0.0,0.0,0.7383177570093458,1,1
7496,1357,2,0,0,0,0,0.04335067360277444,0.0,0.003201280512204882,0.4167893961708395,1,0
5,1,0,0,0,0,0,0.0,0.0,0.0,0.5,0,1
960,180,0,0,5,1,2,0.029136316337148804,0.0,0.015608740894901144,0.8121546961325967,0,1
1045,133,3,0,2,0,1,0.11567877629063097,0.0,0.019120458891013385,0.7238805970149254,2,1
336,72,0,0,6,1,0,0.032640949554896145,0.0,0.0,0.7808219178082192,1,1
118,29,0,0,0,0,0,0.05042016806722689,0.0,0.03361344537815126,0.9,0,1
762,111,4,0,5,0,1,0.07470511140235911,0.0,0.015727391874180863,0.7142857142857143,1,1
1382,352,0,0,0,3,4,0.09761388286334056,0.0,0.064352856109906,0.40509915014164305,1,0
298,34,0,0,11,0,1,0.39464882943143814,0.0,0.010033444816053512,0.9142857142857143,3,1
60,14,0,0,0,0,0,0.04918032786885246,0.0,0.03278688524590164,0.9333333333333333,0,1
428,66,0,0,0,0,0,0.030303030303030304,0.0,0.046620046620046623,0.8507462686567164,0,1
2561,495,0,0,0,0,0,0.03942232630757221,0.0,0.02302888368462139,0.47580645161290325,1,0
177,22,1,0,0,0,0,0.0898876404494382,0.0,0.06741573033707865,0.9130434782608695,1,0
2112,528,0,0,0,35,0,0.10269758637008992,0.0,0.12636062470421203,0.32892249527410206,0,1
2807,589,0,0,2,0,0,0.047364672364672365,0.0,0.014957264957264958,0.43050847457627117,1,0
1184,169,4,0,0,0,0,0.08438818565400844,0.0,0.012658227848101266,0.6882352941176471,1,0
95,25,0,0,0,0,0,0.07291666666666667,0.0,0.21875,0.6923076923076923,0,0
5281,814,0,0,0,1,0,0.06531616811813706,0.0,0.019310867095797046,0.6331288343558282,2,0
2084,370,0,0,0,0,0,0.04748201438848921,0.0,0.030695443645083934,0.37735849056603776,0,0
662,130,0,0,0,0,0,0.03619909502262444,0.0,0.0030165912518853697,0.549618320610687,1,0
1127,313,0,0,0,0,0,0.1356382978723404,0.0,0.0425531914893617,0.28662420382165604,0,0
2121,415,0,0,0,0,0,0.032516493873704054,0.0,0.012723845428840716,0.45913461538461536,1,0
856,137,1,0,0,0,0,0.059509918319719954,0.0,0.010501750291715286,0.7463768115942029,0,0
335,56,1,0,0,0,0,0.08630952380952381,0.0,0.0,0.8421052631578947,0,0
6111,851,2,0,3,7,1,0.06528141361256544,0.0,0.017833769633507853,0.5164319248826291,3,1
1516,313,0,0,0,0,0,0.0903098220171391,0.0,0.028345418589321027,0.4140127388535032,0,0
3812,659,0,0,0,0,0,0.02832415420928403,0.0,0.016784683975872017,0.4287878787878788,1,0
631,127,0,0,1,0,1,0.0189873417721519,0.0,0.004746835443037975,0.6015625,0,1
3780,731,0,0,0,0,0,0.06268183020364983,0.0,0.029092832583972494,0.36065573770491804,2,0
2511,437,0,0,0,1,1,0.03980891719745223,0.0,0.0015923566878980893,0.54337899543379,4,1
503,88,0,0,0,1,0,0.015873015873015872,0.0,0.015873015873015872,0.550561797752809,0,0
448,107,0,0,1,15,0,0.08908685968819599,0.0,0.08240534521158129,0.6203703703703703,0,1
597,126,0,0,0,0,0,0.05518394648829431,0.0,0.008361204013377926,0.6062992125984252,1,0
84,22,0,0,0,0,0,0.08235294117647059,0.0,0.12941176470588237,0.782608695652174,0,0
3003,707,0,0,0,0,0,0.11318242343541944,0.0,0.03195739014647137,0.3050847457627119,1,0
329,72,0,0,0,0,0,0.0696969696969697,0.0,0.05757575757575758,0.726027397260274,0,0
666,132,0,0,3,0,0,0.020989505247376312,0.0,0.0029985007496251873,0.6015037593984962,0,0
2825,517,0,0,0,0,0,0.03467799009200283,0.0,0.013446567586694975,0.46525096525096526,1,0
1702,188,0,0,4,4,2,0.08690546095126248,0.0,0.04580152671755725,0.708994708994709,3,1
