length,num_words,num_urls,suspicious_words,special_char_ratio,label
2753,440,3,0,0.05591866376180102,0
2098,475,0,0,0.081467365412101,0
258,55,0,1,0.0694980694980695,0
310,66,0,0,0.01607717041800643,0
283,63,0,0,0.09154929577464789,0
3215,479,5,0,0.13743781094527363,1
614,130,0,0,0.04227642276422764,1
2010,407,0,1,0.06514172053704624,0
204,25,1,0,0.07804878048780488,0
1198,215,0,0,0.03836530442035029,0
332,64,0,0,0.024024024024024024,1
3488,734,0,0,0.07738607050730868,0
724,204,0,0,0.16,1
2865,406,0,0,0.015003489183531053,1
737,150,0,0,0.032520325203252036,1
722,112,2,0,0.08990318118948824,0
492,97,0,0,0.036511156186612576,0
278,30,2,0,0.13978494623655913,0
1514,253,1,0,0.166996699669967,0
78,13,0,0,0.02531645569620253,1
1424,248,0,0,0.05543859649122807,0
1736,300,0,0,0.03166378814047208,0
1067,188,0,0,0.040262172284644196,0
3941,468,0,4,0.11440892947742262,1
1726,449,0,0,0.09959467284308049,0
370,93,0,0,0.10242587601078167,1
1041,157,0,1,0.07485604606525911,1
940,204,0,0,0.09139213602550478,0
35,7,0,0,0.027777777777777776,0
6990,954,8,0,0.1746531254470033,0
713,147,0,0,0.04481792717086835,1
738,143,0,0,0.02435723951285521,1
69,17,0,0,0.04285714285714286,0
333,75,0,0,0.05389221556886228,1
913,226,0,0,0.09846827133479212,0
5,1,0,0,0.0,1
1025,152,1,0,0.15984405458089668,0
801,135,0,0,0.04239401496259352,1
1991,353,0,0,0.01706827309236948,0
2108,409,0,0,0.04551920341394026,0
1532,317,0,0,0.07175472928897586,0
3433,651,0,0,0.032615026208503206,1
991,137,3,0,0.20665322580645162,0
1386,187,3,0,0.16870944484498918,0
969,122,2,0,0.2134020618556701,0
486,105,0,0,0.04106776180698152,0
485,53,3,0,0.1111111111111111,1
410,93,0,0,0.06082725060827251,1
178,40,0,0,0.07262569832402235,0
994,230,0,0,0.06834170854271357,1
1571,297,0,0,0.02608142493638677,0
229,44,0,0,0.034782608695652174,1
122,21,0,0,0.024390243902439025,1
405,90,0,0,0.07635467980295567,1
1432,323,0,0,0.051639916259595256,0
279,63,0,0,0.09285714285714286,0
1144,260,0,0,0.06899563318777292,1
280,51,0,0,0.03558718861209965,1
2272,336,0,0,0.024197096348438186,1
2450,524,0,3,0.025703794369645042,1
118,10,0,0,0.11764705882352941,0
1172,209,0,0,0.06820119352088662,1
33,5,0,0,0.058823529411764705,0
775,118,0,0,0.05283505154639175,0
899,151,0,2,0.05333333333333334,1
39,8,0,0,0.0,1
606,129,0,0,0.042833607907743,1
786,124,2,0,0.060991105463786534,1
598,100,0,0,0.08514190317195326,0
4459,791,0,0,0.03340807174887892,0
207,41,0,0,0.03365384615384615,0
954,180,0,0,0.019895287958115182,0
777,73,5,2,0.23393316195372751,0
6638,1249,0,0,0.03615002259376412,1
361,77,0,0,0.06353591160220995,1
355,76,0,0,0.0449438202247191,1
1027,213,0,1,0.053501945525291826,0
170,48,0,0,0.1111111111111111,0
436,96,0,0,0.043478260869565216,1
3389,240,0,1,0.05457227138643068,1
2157,383,0,0,0.04170528266913809,0
196,22,1,0,0.08629441624365482,0
613,102,0,0,0.04234527687296417,1
1204,158,0,0,0.008298755186721992,1
1621,211,0,0,0.09124537607891492,1
871,168,0,0,0.02522935779816514,0
1484,306,0,0,0.0707070707070707,0
1557,297,0,0,0.04236200256739409,0
452,73,0,0,0.08167770419426049,1
819,140,0,0,0.07682926829268293,0
320,75,0,0,0.04672897196261682,1
2183,498,0,0,0.09935897435897435,0
1656,239,0,0,0.012070006035003017,1
438,86,0,0,0.022779043280182234,1
450,81,0,0,0.022172949002217297,1
474,94,0,0,0.023157894736842106,0
5,1,0,0,0.0,1
260,34,2,1,0.1111111111111111,1
521,100,0,0,0.02681992337164751,1
510,74,1,0,0.1506849315068493,0
636,157,0,0,0.07692307692307693,0
38,8,0,0,0.0,1
1930,333,0,0,0.07819782496116003,0
452,112,0,0,0.10154525386313466,1
299,66,0,0,0.07333333333333333,1
1102,151,3,0,0.08340888485947416,0
879,118,0,0,0.010227272727272727,1
185,39,0,0,0.03763440860215054,1
45,8,0,0,0.043478260869565216,1
665,157,0,0,0.057057057057057055,1
111,23,0,0,0.03571428571428571,0
299,65,0,0,0.04,1
689,162,0,1,0.04492753623188406,0
1038,93,2,0,0.3224254090471607,0
4026,728,0,2,0.02905388626769307,1
46,12,0,0,0.10638297872340426,1
1135,209,0,0,0.027288732394366196,1
51,13,0,0,0.057692307692307696,1
1117,157,3,1,0.05366726296958855,1
231,48,0,0,0.034482758620689655,0
7044,1255,0,0,0.0319375443577005,0
313,71,0,2,0.06687898089171974,1
988,184,0,0,0.023255813953488372,0
645,141,0,0,0.06346749226006192,1
1052,128,2,0,0.20417853751187084,0
1326,158,3,0,0.2592313489073097,0
5,1,0,0,0.0,1
944,186,0,1,0.020105820105820106,0
449,65,1,0,0.06222222222222222,1
2042,317,5,2,0.1395007342143906,1
1196,132,4,0,0.15204678362573099,1
